cik,years_present,years_present_count,year_2016_present,year_2017_present,year_2018_present,year_2019_present,year_2020_present,year_2021_present,year_2022_present,year_2023_present,year_2024_present,year_2025_present
0001856948,2023,1,False,False,False,False,False,False,False,True,False,False
0001856961,"2023,2024",2,False,False,False,False,False,False,False,True,True,False
0001856967,2025,1,False,False,False,False,False,False,False,False,False,True
0001857086,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0001857154,2025,1,False,False,False,False,False,False,False,False,False,True
0001857410,2024,1,False,False,False,False,False,False,False,False,True,False
0001857518,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001857816,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001857853,"2024,2025",2,False,False,False,False,False,False,False,False,True,True
0001857855,"2022,2025",2,False,False,False,False,False,False,True,False,False,True
0001858028,"2022,2023,2024",3,False,False,False,False,False,False,True,True,True,False
0001858180,2023,1,False,False,False,False,False,False,False,True,False,False
0001858257,"2021,2022,2023,2024,2025",5,False,False,False,False,False,True,True,True,True,True
0001858289,2025,1,False,False,False,False,False,False,False,False,False,True
0001858681,2025,1,False,False,False,False,False,False,False,False,False,True
0001858684,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001858685,"2022,2025",2,False,False,False,False,False,False,True,False,False,True
0001858848,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0001858865,2025,1,False,False,False,False,False,False,False,False,False,True
0001859199,"2023,2024,2025",3,False,False,False,False,False,False,False,True,True,True
0001859285,"2022,2023,2024",3,False,False,False,False,False,False,True,True,True,False
0001859807,2022,1,False,False,False,False,False,False,True,False,False,False
0001859919,2025,1,False,False,False,False,False,False,False,False,False,True
0001860424,2025,1,False,False,False,False,False,False,False,False,False,True
0001860514,"2021,2022,2023,2025",4,False,False,False,False,False,True,True,True,False,True
0001860543,"2022,2023",2,False,False,False,False,False,False,True,True,False,False
0001860657,"2022,2023,2024,2025",4,False,False,False,False,False,False,True,True,True,True
0001860663,2022,1,False,False,False,False,False,False,True,False,False,False
