cik,name,name_clean,ticker,gvkey,sic,name_source
0000033213,EQT CORP,eqt,EQT,4430,1311.0,crosswalk
0000033488,ESCALADE INC,escalade,ESCA,4448,3949.0,crosswalk
0000033533,ESPEY MFG & ELECTRONICS CORP,espey mfg electronics,ESP,4450,3679.0,crosswalk
0000033992,KINGSTONE COS INC,kingstone cos,KINS,4485,6331.0,crosswalk
0000034067,DMC GLOBAL INC,dmc global,BOOM,4497,3533.0,crosswalk
0000034088,EXXON MOBIL CORP,exxon mobil,XOM,4503,2911.0,crosswalk
0000034285,RELIABILITY INC,reliability,RLBY,35849,7361.0,crosswalk
0000034563,FARMER BROS CO,farmer bros,FARM,4579,2090.0,crosswalk
0000034782,1ST SOURCE CORP,1st source,SRCE,15199,6020.0,crosswalk
0000034903,FEDERAL REALTY INVESTMENT TR,federal realty investment tr,FRT,4605,6798.0,crosswalk
0000034956,TENAX THERAPEUTICS INC,tenax therapeutics,OXBT,27939,2836.0,crosswalk
0000035527,FIFTH THIRD BANCORP,fifth third bancorp,FITB,4640,6020.0,crosswalk
0000036029,FIRST FINL BANKSHARES INC,first finl bankshares,FFIN,29101,6020.0,crosswalk
0000036104,US BANCORP,us bancorp,USB,4723,6020.0,crosswalk
0000036146,TRUSTMARK CORP,trustmark,TRMK,4685,6020.0,crosswalk
0000036270,M&T BANK CORP,mt bank,MTB,4699,6020.0,crosswalk
0000036377,FIRST HAWAIIAN INC,first hawaiian,,27665,6020.0,crosswalk
0000036840,FIRST REAL ESTATE TR NJ INC,first real estate tr nj,FREVS,20059,6798.0,crosswalk
0000036966,FIRST HORIZON CORP,first horizon,FHN,4737,6020.0,crosswalk
0000037472,FLEXSTEEL INDUSTRIES INC,flexsteel industries,FLXS,4771,2510.0,crosswalk
0000037634,FLORIDA POWER & LIGHT CO,florida power light,,4798,4911.0,crosswalk
0000037637,DUKE ENERGY FLORIDA INC,duke energy florida,,4799,4911.0,crosswalk
0000037785,FMC CORP,fmc,FMC,4510,2870.0,crosswalk
0000037808,F N B CORP/FL,f n b corpfl,FNB,18049,6020.0,crosswalk
0000037996,FORD MOTOR CO,ford motor,F,4839,3711.0,crosswalk
0000038009,FORD MOTOR CREDIT CO LLC,ford motor credit,,4840,6159.0,crosswalk
0000038264,FORWARD INDUSTRIES INC,forward industries,FORD,62262,8711.0,crosswalk
0000038723,1ST FRANKLIN FINANCIAL CORP,1st franklin financial,,181727,6141.0,crosswalk
0000038725,FRANKLIN ELECTRIC CO INC,franklin electric,FELE,4881,3621.0,crosswalk
0000038777,FRANKLIN RESOURCES INC,franklin resources,BEN,4885,6282.0,crosswalk
0000039020,FREQUENCY ELECTRONICS INC,frequency electronics,FEIM,4900,3825.0,crosswalk
0000039092,FRIEDMAN INDUSTRIES INC,friedman industries,FRD,4903,3310.0,crosswalk
0000039263,CULLEN/FROST BANKERS INC,cullenfrost bankers,CFR,3643,6020.0,crosswalk
0000039311,INDEPENDENT BANK CORP/MI,independent bank corpmi,IBCP,16890,6020.0,crosswalk
0000039368,FULLER (H. B.) CO,fuller h b,FUL,4926,2891.0,crosswalk
0000039899,TEGNA INC,tegna,GCI,4988,4833.0,crosswalk
0000039911,GAP INC,gap,GPS,4990,5651.0,crosswalk
0000040211,GATX CORP,gatx,GMT,4941,4700.0,crosswalk
0000040533,GENERAL DYNAMICS CORP,general dynamics,GD,5046,3721.0,crosswalk
0000040545,GE AEROSPACE,ge aerospace,GE,5047,3724.0,crosswalk
0000040570,GEE GROUP INC,gee,JOB,5050,7361.0,crosswalk
0000040704,GENERAL MILLS INC,general mills,GIS,5071,2040.0,crosswalk
0000040729,ALLY FINANCIAL INC,ally financial,,5072,6172.0,crosswalk
0000040987,GENUINE PARTS CO,genuine parts,GPC,5125,5013.0,crosswalk
0000041091,GEORGIA POWER,georgia power,GPEPRA,5135,4911.0,crosswalk
0000041719,MAGNERA CORP,magnera,GLT,50852,2600.0,crosswalk
0000042582,GOODYEAR TIRE & RUBBER CO,goodyear tire rubber,GT,5234,3011.0,crosswalk
0000042682,GORMAN-RUPP CO,gormanrupp,GRC,5237,3561.0,crosswalk
0000042888,GRACO INC,graco,GGG,5252,3561.0,crosswalk
0000043196,GRAY MEDIA INC,gray media,GTN,5284,4833.0,crosswalk
0000043920,GREIF INC  -CL A,greif inc cl a,GEF,5338,2650.0,crosswalk
0000045012,HALLIBURTON CO,halliburton,HAL,5439,1389.0,crosswalk
0000045876,ENVIRI CORP,enviri,HSC,5496,3390.0,crosswalk
0000045919,HARTE HANKS INC,harte hanks,HHS,12545,7331.0,crosswalk
0000046080,HASBRO INC,hasbro,HAS,5518,3944.0,crosswalk
0000046129,ALLIENT INC,allient,AMOT,5520,3621.0,crosswalk
0000046195,BANK OF HAWAII CORP,bank of hawaii,BOH,2005,6020.0,crosswalk
0000046207,HAWAIIAN ELECTRIC CO,hawaiian electric,,5525,4911.0,crosswalk
0000046250,HAWKINS INC,hawkins,HWKN,5530,5160.0,crosswalk
0000046619,HEICO CORP,heico,HEI,5567,3724.0,crosswalk
0000046765,HELMERICH & PAYNE,helmerich payne,HP,5581,1381.0,crosswalk
0000047111,HERSHEY CO,hershey,HSY,5597,2060.0,crosswalk
0000047217,HP INC,hp,HPQ,5606,3570.0,crosswalk
0000047307,CRAWFORD UNITED CORP,crawford united,HICKA,5621,3490.0,crosswalk
0000048287,HNI CORP,hni,HNI,5690,2522.0,crosswalk
0000048465,HORMEL FOODS CORP,hormel foods,HRL,5709,2011.0,crosswalk
0000048732,CENTERPOINT ENRG HOUSTON ELE,centerpoint enrg houston ele,,155969,4911.0,crosswalk
0000048898,HUBBELL INC,hubbell,HUBA,5764,3640.0,crosswalk
0000049071,HUMANA INC,humana,HUM,27914,6324.0,crosswalk
0000049196,HUNTINGTON BANCSHARES,huntington bancshares,HBAN,5786,6020.0,crosswalk
0000049600,EASTGROUP PROPERTIES,eastgroup properties,EGP,4193,6798.0,crosswalk
0000049648,IDAHO POWER CO,idaho power,IDAHOPWR,145269,4911.0,crosswalk
0000049754,DINE BRANDS GLOBAL INC,dine brands global,DIN,24291,6794.0,crosswalk
0000049826,ILLINOIS TOOL WORKS,illinois tool works,ITW,5878,3560.0,crosswalk
0000049938,IMPERIAL OIL LTD,imperial oil,,5903,2911.0,crosswalk
0000050172,INDIANA MICHIGAN POWER CO,indiana michigan power,,5914,4911.0,crosswalk
0000050292,Ieh Corporation,ieh,IEHC,,3678.0,ticker_map
0000050471,REPOSITRAK INC,repositrak,PCYG,116166,7370.0,crosswalk
0000050493,INGLES MARKETS INC  -CL A,ingles markets inc cl a,IMKTA,12972,5411.0,crosswalk
0000050725,GRIFFON CORP,griffon,GFF,5987,3420.0,crosswalk
0000050863,INTEL CORP,intel,INTC,6008,3674.0,crosswalk
0000051143,INTL BUSINESS MACHINES CORP,intl business machines,IBM,6066,7370.0,crosswalk
0000051253,INTL FLAVORS & FRAGRANCES,intl flavors fragrances,IFF,6078,2860.0,crosswalk
0000051434,INTL PAPER CO,intl paper,IP,6104,2631.0,crosswalk
0000051644,INTERPUBLIC GROUP OF COS,interpublic group of cos,IPG,6136,7311.0,crosswalk
0000052485,INTERSTATE POWER & LIGHT CO,interstate power light,,12555,4931.0,crosswalk
0000052827,RAYONIER INC,rayonier,RYN,5862,6798.0,crosswalk
0000052988,JACOBS SOLUTIONS INC,jacobs solutions,JEC,6216,8700.0,crosswalk
0000054187,MAYS (J.W.) INC,mays jw,MAYS,7138,6512.0,crosswalk
0000054381,KAMAN CORP,kaman,KAMN,6326,3720.0,crosswalk
0000054476,KANSAS CITY POWER & LIGHT CO,kansas city power light,,156654,4911.0,crosswalk
0000054507,WESTAR ENERGY INC,westar energy,WR,34057,4911.0,crosswalk
0000055067,KELLANOVA,kellanova,K,6375,2040.0,crosswalk
0000055135,KELLY SERVICES INC  -CL A,kelly services inc cl a,KELYAKELYB,6379,7363.0,crosswalk
0000055234,GLOBAL ASSET MGMT GROUP INC,global asset mgmt,,6385,8090.0,crosswalk
0000055242,KENNAMETAL INC,kennametal,KMT,6386,3540.0,crosswalk
0000055387,KENTUCKY UTILITIES CO,kentucky utilities,,25588,4911.0,crosswalk
0000055529,KEWAUNEE SCIENTIFIC CORP,kewaunee scientific,KEQU,6410,3821.0,crosswalk
0000055785,KIMBERLY-CLARK CORP,kimberlyclark,KMB,6435,2621.0,crosswalk
0000056047,KIRBY CORP,kirby,KEX,6461,4400.0,crosswalk
0000056679,KORN FERRY,korn ferry,KFY,118267,7361.0,crosswalk
0000056701,KOSS CORP,koss,KOSS,6497,3651.0,crosswalk
0000056868,PRIMEENERGY RESOURCES CORP,primeenergy resources,PNRG,6311,1311.0,crosswalk
0000056873,KROGER CO,kroger,KR,6502,5411.0,crosswalk
0000056978,KULICKE & SOFFA INDUSTRIES,kulicke soffa industries,KLIC,6509,3559.0,crosswalk
0000057131,LA-Z-BOY INC,lazboy,LZB,6543,2510.0,crosswalk
0000057183,LACLEDE GAS CO,laclede gas,,156655,4924.0,crosswalk
0000057515,MARZETTI CO (THE),marzetti co the,LANC,6573,2030.0,crosswalk
0000058492,LEGGETT & PLATT INC,leggett platt,LEG,6649,2510.0,crosswalk
0000059255,VALHI INC,valhi,VHI,12578,2810.0,crosswalk
0000059440,VECTOR GROUP LTD,vector,VGR,13963,2111.0,crosswalk
0000059478,LILLY (ELI) & CO,lilly eli,LLY,6730,2834.0,crosswalk
0000059527,LINCOLN ELECTRIC HLDGS INC,lincoln electric hldgs,LECO,6737,3540.0,crosswalk
0000059558,LINCOLN NATIONAL CORP,lincoln national,LNC,6742,6311.0,crosswalk
0000060086,LOEWS CORP,loews,L,6781,6331.0,crosswalk
0000060519,LOUISIANA-PACIFIC CORP,louisianapacific,LPX,6821,2400.0,crosswalk
0000060549,LOUISVILLE GAS AND ELECTRIC,louisville gas and electric,,23465,4931.0,crosswalk
0000060667,LOWE'S COS INC,lowes cos,LOW,6829,5211.0,crosswalk
0000060714,LSB INDUSTRIES INC,lsb industries,LXU,6528,2810.0,crosswalk
0000061004,LGL GROUP INC,lgl,LGL,6848,3679.0,crosswalk
0000061339,MADISON GAS & ELECTRIC CO,madison gas electric,MGEE,156656,4931.0,crosswalk
0000061398,TELLURIAN INC,tellurian,MPET,30241,1311.0,crosswalk
0000061986,MANITOWOC CO,manitowoc,MTW,6994,3530.0,crosswalk
0000062234,MARCUS CORP,marcus,MCS,7022,7830.0,crosswalk
0000062362,MARINE PETROLEUM TRUST,marine petroleum trust,,7034,6792.0,crosswalk
0000062709,MARSH,marsh,MMC,7065,6411.0,crosswalk
