cik,year,form,filename,path
1117480,2022,10-K,20220301_10-K_edgar_data_1117480_0001117480-22-000008.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220301_10-K_edgar_data_1117480_0001117480-22-000008.txt
1117480,2023,10-K,20230302_10-K_edgar_data_1117480_0001117480-23-000006.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230302_10-K_edgar_data_1117480_0001117480-23-000006.txt
1117480,2024,10-K,20240229_10-K_edgar_data_1117480_0001117480-24-000005.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR1/20240229_10-K_edgar_data_1117480_0001117480-24-000005.txt
1138476,2021,10-K,20210331_10-K_edgar_data_1138476_0001185185-21-000438.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210331_10-K_edgar_data_1138476_0001185185-21-000438.txt
1138476,2022,10-K,20220414_10-K_edgar_data_1138476_0001185185-22-000436.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR2/20220414_10-K_edgar_data_1138476_0001185185-22-000436.txt
1138476,2023,10-K,20230331_10-K_edgar_data_1138476_0001185185-23-000301.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230331_10-K_edgar_data_1138476_0001185185-23-000301.txt
1138476,2024,10-K,20240416_10-K_edgar_data_1138476_0001185185-24-000392.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR2/20240416_10-K_edgar_data_1138476_0001185185-24-000392.txt
1171838,2021,10-K,20210629_10-K_edgar_data_1171838_0001493152-21-015565.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR2/20210629_10-K_edgar_data_1171838_0001493152-21-015565.txt
1171838,2022,10-K,20220629_10-K_edgar_data_1171838_0001493152-22-018095.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR2/20220629_10-K_edgar_data_1171838_0001493152-22-018095.txt
1171838,2023,10-K,20230629_10-K_edgar_data_1171838_0001493152-23-022963.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR2/20230629_10-K_edgar_data_1171838_0001493152-23-022963.txt
1171838,2024,10-K,20240701_10-K_edgar_data_1171838_0001493152-24-025765.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR3/20240701_10-K_edgar_data_1171838_0001493152-24-025765.txt
1177394,2021,10-K,20210128_10-K_edgar_data_1177394_0001564590-21-003035.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210128_10-K_edgar_data_1177394_0001564590-21-003035.txt
1177394,2022,10-K,20220128_10-K_edgar_data_1177394_0001564590-22-003003.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220128_10-K_edgar_data_1177394_0001564590-22-003003.txt
1177394,2023,10-K,20230124_10-K_edgar_data_1177394_0001177394-23-000010.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230124_10-K_edgar_data_1177394_0001177394-23-000010.txt
1177394,2024,10-K,20240126_10-K_edgar_data_1177394_0001177394-24-000014.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR1/20240126_10-K_edgar_data_1177394_0001177394-24-000014.txt
1315399,2021,10-K,20210331_10-K_edgar_data_1315399_0001315399-21-000004.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210331_10-K_edgar_data_1315399_0001315399-21-000004.txt
1315399,2022,10-K,20220321_10-K_edgar_data_1315399_0001315399-22-000039.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220321_10-K_edgar_data_1315399_0001315399-22-000039.txt
1315399,2023,10-K,20230315_10-K_edgar_data_1315399_0001315399-23-000020.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230315_10-K_edgar_data_1315399_0001315399-23-000020.txt
1315399,2024,10-K,20240313_10-K_edgar_data_1315399_0001315399-24-000024.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR1/20240313_10-K_edgar_data_1315399_0001315399-24-000024.txt
1341318,2021,10-K,20210329_10-K_edgar_data_1341318_0001341318-21-000018.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210329_10-K_edgar_data_1341318_0001341318-21-000018.txt
1341318,2022,10-K,20220331_10-K_edgar_data_1341318_0001341318-22-000020.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220331_10-K_edgar_data_1341318_0001341318-22-000020.txt
1341318,2023,10-K,20230331_10-K_edgar_data_1341318_0001341318-23-000020.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230331_10-K_edgar_data_1341318_0001341318-23-000020.txt
1341318,2024,10-K,20240322_10-K_edgar_data_1341318_0000950170-24-035465.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR1/20240322_10-K_edgar_data_1341318_0000950170-24-035465.txt
1347652,2021,10-K,20210304_10-K_edgar_data_1347652_0001347652-21-000014.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210304_10-K_edgar_data_1347652_0001347652-21-000014.txt
1347652,2022,10-K,20220314_10-K_edgar_data_1347652_0001347652-22-000020.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220314_10-K_edgar_data_1347652_0001347652-22-000020.txt
1347652,2023,10-K,20230329_10-K_edgar_data_1347652_0001347652-23-000035.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230329_10-K_edgar_data_1347652_0001347652-23-000035.txt
1347652,2024,10-K,20240514_10-K_edgar_data_1347652_0001347652-24-000051.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR2/20240514_10-K_edgar_data_1347652_0001347652-24-000051.txt
1352010,2021,10-K,20210225_10-K_edgar_data_1352010_0001352010-21-000010.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR1/20210225_10-K_edgar_data_1352010_0001352010-21-000010.txt
1352010,2022,10-K,20220225_10-K_edgar_data_1352010_0001352010-22-000020.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR1/20220225_10-K_edgar_data_1352010_0001352010-22-000020.txt
1352010,2023,10-K,20230224_10-K_edgar_data_1352010_0001352010-23-000013.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR1/20230224_10-K_edgar_data_1352010_0001352010-23-000013.txt
1352010,2024,10-K,20240222_10-K_edgar_data_1352010_0001352010-24-000008.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR1/20240222_10-K_edgar_data_1352010_0001352010-24-000008.txt
1357878,2021,10-K,20210623_10-K_edgar_data_1357878_0001472375-21-000044.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2021/QTR2/20210623_10-K_edgar_data_1357878_0001472375-21-000044.txt
1357878,2022,10-K,20220628_10-K_edgar_data_1357878_0001472375-22-000055.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2022/QTR2/20220628_10-K_edgar_data_1357878_0001472375-22-000055.txt
1357878,2023,10-K,20230609_10-K_edgar_data_1357878_0001472375-23-000090.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2023/QTR2/20230609_10-K_edgar_data_1357878_0001472375-23-000090.txt
1357878,2024,10-K,20240624_10-K_edgar_data_1357878_0001472375-24-000045.txt,/Users/soheilkhodadadi/DataWork/10-X_C_2021-2124/2024/QTR2/20240624_10-K_edgar_data_1357878_0001472375-24-000045.txt
