cik,name,alias,alias_clean,alias_source
0000917225,SOLITARIO RESOURCES CORP.,SOLITARIO ZINC CORP.,solitario zinc,input_alias
0000918251,MOTORCAR PARTS OF AMERICA INC,MOTORCAR PARTS & ACCESSORIES INC,motorcar parts accessories,input_alias
0000918251,MOTORCAR PARTS OF AMERICA INC,MOTORCAR PARTS AMERICA INC,motorcar parts america,input_alias
0000918541,NN INC,NN BALL & ROLLER INC,nn ball roller,input_alias
0000918646,EAGLE MATERIALS INC,CENTEX CONSTRUCTION PRODUCTS INC,centex construction products,input_alias
0000919864,Finward Bancorp,NORTHWEST INDIANA BANCORP,northwest indiana bancorp,input_alias
0000920148,LABCORP HOLDINGS INC.,LABORATORY CORP OF AMERICA HOLDINGS,laboratory corp of america,input_alias
0000920148,LABCORP HOLDINGS INC.,NATIONAL HEALTH LABORATORIES HOLDINGS INC,national health laboratories,input_alias
0000920371,"Simpson Manufacturing Co., Inc.",SIMPSON MANUFACTURING CO INC /CA/,simpson manufacturing co inc ca,input_alias
0000920427,UNITY BANCORP INC /NJ/,UNITY BANCORP INC /DE/,unity bancorp inc de,input_alias
0000920522,"ESSEX PROPERTY TRUST, INC.",ESSEX PORTFOLIO LP,essex portfolio lp,input_alias
0000920760,LENNAR CORP /NEW/,PACIFIC GREYSTONE CORP /DE/,pacific greystone corp de,input_alias
0000921114,"Armata Pharmaceuticals, Inc.",AmpliPhi Biosciences Corp,ampliphi biosciences,input_alias
0000921114,"Armata Pharmaceuticals, Inc.",TARGETED GENETICS CORP /WA/,targeted genetics corp wa,input_alias
0000921738,"PENN Entertainment, Inc.",PENN NATIONAL GAMING INC,penn national gaming,input_alias
0000922224,PPL Corp,PP&L RESOURCES INC,ppl resources,input_alias
0000923601,"Algorhythm Holdings, Inc.",SINGING MACHINE CO INC,singing machine,input_alias
0000923796,GEO GROUP INC,WACKENHUT CORRECTIONS CORP,wackenhut corrections,input_alias
