cik,years_present,annual_filing_count,year_2021_present,year_2022_present,year_2023_present,year_2024_present,years_present_count
0000057725,"2021,2022",2,True,True,False,False,2
0000058361,"2021,2023,2024",4,True,False,True,True,3
0000058492,"2021,2022,2023,2024",4,True,True,True,True,4
0000059255,"2021,2022,2023,2024",4,True,True,True,True,4
0000059440,"2021,2022,2023,2024",6,True,True,True,True,4
0000059478,"2021,2022,2023,2024",4,True,True,True,True,4
0000059527,"2021,2022,2023,2024",4,True,True,True,True,4
0000059558,"2021,2022,2023,2024",5,True,True,True,True,4
0000059860,"2021,2022,2023",4,True,True,True,False,3
0000060086,"2021,2022,2023,2024",4,True,True,True,True,4
0000060519,"2021,2022,2023,2024",4,True,True,True,True,4
0000060549,"2021,2022,2023,2024",4,True,True,True,True,4
0000060667,"2021,2022,2023,2024",4,True,True,True,True,4
0000060714,"2021,2022,2023,2024",5,True,True,True,True,4
0000060977,2021,1,True,False,False,False,1
0000061004,"2021,2022,2023,2024",4,True,True,True,True,4
0000061339,"2021,2022,2023,2024",4,True,True,True,True,4
0000061398,"2021,2022,2023,2024",4,True,True,True,True,4
0000061986,"2021,2022,2023,2024",4,True,True,True,True,4
0000062234,"2021,2022,2023,2024",4,True,True,True,True,4
0000062362,"2021,2022,2023,2024",4,True,True,True,True,4
0000062709,"2021,2022,2023,2024",4,True,True,True,True,4
0000062996,"2021,2022,2023,2024",4,True,True,True,True,4
0000063276,"2021,2022,2023,2024",4,True,True,True,True,4
0000063296,"2021,2022,2023,2024",4,True,True,True,True,4
0000063330,"2021,2022,2023,2024",5,True,True,True,True,4
0000063754,"2021,2022,2023,2024",4,True,True,True,True,4
0000063908,"2021,2022,2023,2024",4,True,True,True,True,4
0000064040,"2021,2022,2023,2024",4,True,True,True,True,4
0000064463,"2021,2022,2023,2024",6,True,True,True,True,4
0000064472,"2021,2022,2023",3,True,True,True,False,3
0000064803,"2021,2022,2023,2024",4,True,True,True,True,4
0000064996,"2021,2022,2023,2024",4,True,True,True,True,4
0000065011,2021,1,True,False,False,False,1
0000065172,"2021,2022,2023,2024",4,True,True,True,True,4
0000065270,"2021,2022,2023,2024",4,True,True,True,True,4
0000065312,"2021,2022,2023,2024",9,True,True,True,True,4
0000065596,"2021,2022,2023,2024",5,True,True,True,True,4
0000065759,"2021,2022,2023,2024",5,True,True,True,True,4
0000065770,"2021,2022,2023,2024",4,True,True,True,True,4
0000065984,"2021,2022,2023,2024",4,True,True,True,True,4
0000066004,"2021,2022,2023,2024",5,True,True,True,True,4
0000066382,"2021,2022,2023,2024",5,True,True,True,True,4
0000066418,"2021,2022,2023,2024",4,True,True,True,True,4
0000066496,"2021,2022,2023,2024",4,True,True,True,True,4
0000066570,"2021,2022,2023,2024",4,True,True,True,True,4
0000066600,"2021,2022,2023",4,True,True,True,False,3
0000066740,"2021,2022,2023,2024",4,True,True,True,True,4
0000066756,"2021,2022,2023,2024",4,True,True,True,True,4
0000066901,"2021,2022,2023,2024",4,True,True,True,True,4
0000066904,"2021,2022,2023,2024",4,True,True,True,True,4
0000067215,"2021,2022,2023,2024",4,True,True,True,True,4
0000067347,"2021,2022,2023,2024",4,True,True,True,True,4
0000067625,2021,1,True,False,False,False,1
0000067716,"2021,2022,2023,2024",4,True,True,True,True,4
0000067887,"2021,2022,2023,2024",4,True,True,True,True,4
0000068505,"2021,2022,2023,2024",4,True,True,True,True,4
0000068622,"2021,2022,2023,2024",4,True,True,True,True,4
0000068709,2021,1,True,False,False,False,1
0000069422,"2021,2022,2023,2024",5,True,True,True,True,4
0000069488,"2021,2022,2023,2024",4,True,True,True,True,4
0000069633,"2021,2022,2023,2024",5,True,True,True,True,4
0000069733,"2021,2022,2023,2024",4,True,True,True,True,4
0000069891,"2021,2022,2023,2024",5,True,True,True,True,4
0000070145,"2021,2022,2023,2024",4,True,True,True,True,4
0000070318,"2021,2022,2023,2024",4,True,True,True,True,4
0000070415,2021,2,True,False,False,False,1
0000070487,"2021,2022,2023,2024",5,True,True,True,True,4
0000070502,"2021,2022,2023,2024",4,True,True,True,True,4
0000070858,"2021,2022,2023,2024",4,True,True,True,True,4
0000070866,"2021,2022,2023,2024",4,True,True,True,True,4
0000071180,"2021,2022,2023,2024",4,True,True,True,True,4
0000071508,"2021,2022,2023,2024",4,True,True,True,True,4
0000071557,"2021,2022,2023,2024",6,True,True,True,True,4
0000071691,"2021,2022,2023,2024",4,True,True,True,True,4
0000071829,"2021,2022,2023,2024",4,True,True,True,True,4
0000072162,"2021,2022,2023,2024",4,True,True,True,True,4
0000072205,"2021,2022,2023,2024",4,True,True,True,True,4
0000072331,"2021,2022,2023,2024",5,True,True,True,True,4
0000072333,"2021,2022,2023,2024",4,True,True,True,True,4
0000072444,"2021,2022,2023,2024",4,True,True,True,True,4
0000072573,"2021,2022,2023,2024",4,True,True,True,True,4
0000072633,"2021,2022,2023,2024",6,True,True,True,True,4
0000072741,"2021,2022,2023,2024",4,True,True,True,True,4
0000072903,"2021,2022,2023,2024",4,True,True,True,True,4
0000072909,"2021,2022,2023,2024",4,True,True,True,True,4
0000072971,"2021,2022,2023,2024",4,True,True,True,True,4
0000073020,"2021,2022,2023,2024",4,True,True,True,True,4
0000073088,"2021,2022,2023",3,True,True,True,False,3
0000073124,"2021,2022,2023,2024",4,True,True,True,True,4
0000073290,"2021,2022,2023,2024",5,True,True,True,True,4
0000073309,"2021,2022,2023,2024",4,True,True,True,True,4
0000073756,"2021,2022,2023,2024",4,True,True,True,True,4
0000073960,"2021,2022,2023,2024",4,True,True,True,True,4
0000073986,"2021,2022,2023,2024",4,True,True,True,True,4
0000074046,"2021,2022,2023,2024",4,True,True,True,True,4
0000074145,"2021,2022,2023,2024",4,True,True,True,True,4
0000074208,"2021,2022,2023,2024",5,True,True,True,True,4
0000074260,"2021,2022,2023,2024",4,True,True,True,True,4
0000074303,"2021,2022,2023,2024",4,True,True,True,True,4
0000074925,"2021,2022",3,True,True,False,False,2
0000075208,"2021,2022,2023,2024",5,True,True,True,True,4
0000075252,"2021,2022,2023,2024",4,True,True,True,True,4
0000075288,"2021,2022,2023,2024",4,True,True,True,True,4
0000075340,"2021,2022,2023",3,True,True,True,False,3
0000075362,"2021,2022,2023,2024",4,True,True,True,True,4
0000075488,"2021,2022,2023,2024",4,True,True,True,True,4
0000075594,"2021,2022,2023,2024",4,True,True,True,True,4
0000075677,"2021,2022,2023,2024",4,True,True,True,True,4
0000076063,"2021,2022",2,True,True,False,False,2
0000076267,"2021,2022,2023,2024",4,True,True,True,True,4
0000076282,"2021,2022,2023,2024",4,True,True,True,True,4
0000076334,"2021,2022,2023,2024",4,True,True,True,True,4
0000076605,"2021,2022,2023,2024",4,True,True,True,True,4
0000077159,"2021,2022,2023",4,True,True,True,False,3
0000077281,"2021,2022,2023",3,True,True,True,False,3
0000077360,"2021,2022,2023,2024",4,True,True,True,True,4
0000077476,"2021,2022,2023,2024",4,True,True,True,True,4
0000077543,"2021,2022,2023,2024",4,True,True,True,True,4
0000077877,"2021,2022,2023",3,True,True,True,False,3
0000078003,"2021,2022,2023,2024",4,True,True,True,True,4
0000078100,"2021,2022,2023,2024",4,True,True,True,True,4
0000078128,"2021,2022,2023,2024",4,True,True,True,True,4
0000078239,"2021,2022,2023,2024",4,True,True,True,True,4
0000078460,"2021,2022,2023,2024",4,True,True,True,True,4
0000078749,"2021,2022,2023,2024",5,True,True,True,True,4
0000078814,"2021,2022,2023,2024",4,True,True,True,True,4
0000078890,"2021,2022,2023,2024",4,True,True,True,True,4
0000079282,"2021,2022,2023,2024",4,True,True,True,True,4
0000079661,"2021,2022,2023,2024",5,True,True,True,True,4
0000079732,"2021,2022,2023,2024",4,True,True,True,True,4
0000079879,"2021,2022,2023,2024",4,True,True,True,True,4
0000080035,"2021,2022,2023,2024",4,True,True,True,True,4
0000080172,"2021,2022,2023,2024",4,True,True,True,True,4
0000080420,"2021,2022,2023,2024",4,True,True,True,True,4
0000080424,"2021,2022,2023,2024",4,True,True,True,True,4
0000080661,"2021,2022,2023,2024",4,True,True,True,True,4
0000081018,"2021,2022,2023,2024",4,True,True,True,True,4
0000081020,"2021,2022,2023,2024",4,True,True,True,True,4
0000081023,"2021,2022,2023,2024",4,True,True,True,True,4
0000081027,"2021,2022,2023,2024",4,True,True,True,True,4
0000081033,"2021,2022,2023,2024",4,True,True,True,True,4
0000081061,"2021,2022,2023,2024",4,True,True,True,True,4
0000081100,"2021,2022,2023,2024",4,True,True,True,True,4
0000081157,"2021,2022,2023",3,True,True,True,False,3
0000081362,"2021,2022,2023,2024",5,True,True,True,True,4
0000081955,"2021,2022,2023,2024",4,True,True,True,True,4
0000082020,"2021,2022,2023,2024",4,True,True,True,True,4
0000082166,2021,1,True,False,False,False,1
0000082473,"2021,2022,2023,2024",4,True,True,True,True,4
0000082811,"2021,2022,2023,2024",4,True,True,True,True,4
0000083246,"2021,2022,2023,2024",4,True,True,True,True,4
0000083350,"2021,2022,2023,2024",5,True,True,True,True,4
0000084112,"2021,2022,2023,2024",4,True,True,True,True,4
0000084129,"2021,2022,2023,2024",4,True,True,True,True,4
0000084246,"2021,2022,2023,2024",4,True,True,True,True,4
0000084748,"2021,2022,2023,2024",4,True,True,True,True,4
0000084839,"2021,2022,2023,2024",4,True,True,True,True,4
0000085535,"2021,2023,2024",5,True,False,True,True,3
0000085961,"2021,2022,2023,2024",4,True,True,True,True,4
0000086115,"2021,2022,2023,2024",4,True,True,True,True,4
0000086312,"2021,2022,2023,2024",4,True,True,True,True,4
0000086521,"2021,2022,2023,2024",4,True,True,True,True,4
0000087047,"2021,2022",2,True,True,False,False,2
0000087050,"2021,2022,2023,2024",5,True,True,True,True,4
0000087347,"2021,2022,2023,2024",4,True,True,True,True,4
0000087802,"2021,2022,2024",4,True,True,False,True,3
