term,coef,se,t,p,model,N
leverage,-0.21609598699526156,0.4960133021461565,-0.4356657090853305,0.6630792886048968,OLS_k1_dummies,47.0
cash,1.496543847654428,2.063982555745225,0.725075821735365,0.46840551641067363,OLS_k1_dummies,47.0
rd_intensity,-0.1180568489104985,0.7157775121816427,-0.16493511866650995,0.8689950502289534,OLS_k1_dummies,47.0
capx_at,-13.856751000261902,4.092698762969892,-3.3857246288526412,0.0007099058178641168,OLS_k1_dummies,47.0
roa,-0.47676641644610296,0.6463052347163428,-0.7376799549756876,0.46070895579247284,OLS_k1_dummies,47.0
sales_growth,0.015314942781119528,0.029734973137570075,0.5150481458403987,0.6065193765506043,OLS_k1_dummies,47.0
emp,-0.0322214886404034,0.06241708878079874,-0.5162286365767774,0.6056947318408128,OLS_k1_dummies,47.0
Intercept,0.8731439881933056,15.395133977395586,0.05671558230511849,0.9547717611112457,OLS_k2_levels,31.0
C(cik)[T.59255],0.023793224200411522,4.481671431365635,0.005309006821403986,0.9957640453228018,OLS_k2_levels,31.0
C(cik)[T.61004],-2.089911761988554,5.274218954797675,-0.39625047422186993,0.691920259101207,OLS_k2_levels,31.0
C(cik)[T.109177],1.1319832967506365,6.080389266950937,0.18616954393090676,0.852311806830776,OLS_k2_levels,31.0
C(cik)[T.790051],0.494608946043142,6.745106006004734,0.07332856527426307,0.9415446610808751,OLS_k2_levels,31.0
C(cik)[T.824142],-0.31674018476501775,1.7483330010754066,-0.18116696565825252,0.8562365230977074,OLS_k2_levels,31.0
C(cik)[T.885639],0.38172103519366907,12.650670674359274,0.030173976148739033,0.9759283031032808,OLS_k2_levels,31.0
C(cik)[T.895417],0.5832508922934982,5.747050762063332,0.10148699157898108,0.9191638834578125,OLS_k2_levels,31.0
C(cik)[T.1076930],2.2086906637208727,2.2805246271052053,0.9685011235877267,0.3327941581342747,OLS_k2_levels,31.0
C(cik)[T.1086222],2.878970611883183,7.791114296950375,0.3695197505971745,0.7117403543948246,OLS_k2_levels,31.0
C(cik)[T.1117480],1.1510070665692567,6.901582613692841,0.16677436625704398,0.867547588946425,OLS_k2_levels,31.0
C(cik)[T.1393311],1.0567334910457085,8.245250296782665,0.12816269403708105,0.8980202223905728,OLS_k2_levels,31.0
C(cik)[T.1418819],0.07104747427724423,4.603841614602685,0.015432215142217848,0.9876873625167771,OLS_k2_levels,31.0
C(cik)[T.1436126],-0.2609321018701054,0.7255572896672254,-0.3596299087419838,0.7191239140880756,OLS_k2_levels,31.0
C(cik)[T.1438533],-0.868102893476381,3.007450516542719,-0.28865076539125495,0.77284864304883,OLS_k2_levels,31.0
C(cik)[T.1439095],0.6572424573334181,2.7713340208588435,0.23715743118172994,0.812534659297907,OLS_k2_levels,31.0
C(year)[T.2022],-0.10284403501159933,0.20719294340202504,-0.4963684251159403,0.6196344980038581,OLS_k2_levels,31.0
n_A,0.17518077021030165,0.14408411314787486,1.2158229410796455,0.2240523776947727,OLS_k2_levels,31.0
n_S,1.8575036199899158e-13,2.174599331107125e-13,0.8541820065051844,0.3930041513762548,OLS_k2_levels,31.0
log_docs,0.09622787344541572,0.07914628865330715,1.2158229410722319,0.22405237769759756,OLS_k2_levels,31.0
ln_assets,-0.2794114098184637,2.3462427069062555,-0.11908887729134138,0.9052049426676944,OLS_k2_levels,31.0
leverage,1.5730076220515739,1.9205829006238146,0.8190261516650249,0.41277149317389816,OLS_k2_levels,31.0
cash,2.5008036836243264,4.301326544274575,0.5814028899882304,0.5609689501583425,OLS_k2_levels,31.0
rd_intensity,-1.365755268147396,6.303586020539412,-0.21666322371064037,0.8284708104141612,OLS_k2_levels,31.0
capx_at,20.409686018928312,20.725293491939787,0.9847718695450939,0.3247361412389238,OLS_k2_levels,31.0
roa,0.6667592706488783,1.9989127085717553,0.3335609743185259,0.7387108711040707,OLS_k2_levels,31.0
sales_growth,-0.14013439089901758,0.2950822699937259,-0.47489939297944656,0.6348586841340135,OLS_k2_levels,31.0
emp,0.002993783118895168,0.0450828591462979,0.0664062389916326,0.9470544031722833,OLS_k2_levels,31.0
